CODE	SUPPLIER	SUPPCODE	DESCRIPTION	RETAIL	TRADE	MLP	DISC1	DISC2	FWDDATE	FWDRETAIL	FWDTRADE	FWDMLP	FWDDISC1	FWDDISC2
ACCP	13012	ACCP	MONTROSE 728X728MM ANGLED VANITY COR CUP	398.53	318.85	398.567	50.00	0.00		0.00	0.00	0.00	0.00	0.00
ACU	13012	ACU	MONTROSE 517X574MM PLAIN DOOR ANGLED BAS	258.94	207.14	258.943	50.00	0.00		0.00	0.00	0.00	0.00	0.00
ACUO	13012	ACUO	MONTROSE 517X574MM OPEN SHELF ANGLED BAS	183.79	147.04	183.816	50.00	0.00		0.00	0.00	0.00	0.00	0.00
ACUOP	13012	ACUOP	MONTROSE 517X728MM OPEN SHELF ANGLED BAS	183.79	147.04	183.816	50.00	0.00		0.00	0.00	0.00	0.00	0.00
ACUP	13012	ACUP	MONTROSE 517X728MM PLAIN DOOR ANGLED BAS	258.94	207.14	258.943	50.00	0.00		0.00	0.00	0.00	0.00	0.00
ATW	13012	ATW	MONTROSE 417X1064MM PLAIN ANGLED WALL CU	361.36	289.12	361.450	50.00	0.00		0.00	0.00	0.00	0.00	0.00
ATWO	13012	ATWO	MONTROSE 417X1064MM OPEN ANGLED WALL CUP	217.38	173.92	217.403	50.00	0.00		0.00	0.00	0.00	0.00	0.00
AVU	13012	AVU	MONTROSE 728X584MM ANGLED VANITY UN(728M	412.69	330.16	412.715	50.00	0.00		0.00	0.00	0.00	0.00	0.00
AVUP	13012	AVUP	MONTROSE 728X728MM ANGLED VANITY UN(728M	412.69	330.16	412.715	50.00	0.00		0.00	0.00	0.00	0.00	0.00
AW	13012	AW    	MONTROSE 417X584MM PLAIN ANGLED WALL CUP	241.24	193.01	241.264	50.00	0.00		0.00	0.00	0.00	0.00	0.00
AWM	13012	AWM	MONTROSE ANGLED 417X584MM MIRR ANGLED WA	228.86	183.11	228.887	50.00	0.00		0.00	0.00	0.00	0.00	0.00
