PERIOD,DATE,JOURNAL,REFERENCE,VALUE,BRANCH,GLCODE,GLREPORT
201705,11/07/17,JV5550,MAY PAYMENTS ,49.13,2,310,12
201707,26/07/17,73528,83539/SIMPSONS ,83,2,630,54
201610,10/10/16,66155,74994/DAVROC LIMITED ,-40.32,2,720,56
201606,22/06/16,63125,71380/N.FROY AND SONS LIMITED ,34.08,2,700,58
201602,03/02/16,59893,67793/FM PRODUCTS ,117.06,2,630,54
201801,10/01/18,77972,91140/ROBERT LEE(LONDON)LTD ,-8.54,2,700,58
201707,10/07/17,73428,83432/SIMPSONS ,133,2,630,54
201703,14/03/17,69994,79266/MONTROSE FURNITURE ,83,2,700,58
201610,24/10/16,66358,75261/DAVROC LIMITED ,366.91,2,700,58
201606,01/06/16,62722,70932/IDEAL BATHROOMS ,-112.33,2,720,56
201607,29/07/16,63732,72255/SANEUX ,6.75,2,700,58
201801,31/01/18,78175,91371/SIMPSONS ,-211.6,2,720,56
201705,19/05/17,72015,81593/DAVROC LIMITED ,-13.68,2,720,56
201612,02/12/16,67773,76852/CLAYGATE DISTRIBUTION LTD ,10,2,700,58
201607,07/07/16,63935,72471/CLAYGATE DISTRIBUTION LTD ,35,2,630,54
201701,04/01/17,68177,76644/BRETT MARTIN LTD ,-2736.06,2,690,52
201601,20/01/16,59188,66852/DAVROC LIMITED ,-144.06,2,720,56
201601,31/01/16,58885,66473/EASTBROOK CO ,-375.12,2,690,52
201710,05/10/17,75247,85861/HANSGROHE LIMITED ,-227.84,2,720,56
201803,28/03/18,79590,93115/MITCHELLS(MILLBROOK)LTD ,1025.48,2,630,54
201706,28/06/17,72622,82268/N.FROY AND SONS LIMITED ,89.55,2,720,56
201701,28/01/17,68481,77724/JOHN CRIBB AND SONS LIMITED ,38.94,2,700,58
201608,08/08/16,64744,73370/EMBRASS ,1.84,2,700,58
201604,20/04/16,61108,69052/IDEAL BATHROOMS ,103.28,2,630,54
201803,19/03/18,79389,92866/MONTROSE FURNITURE ,292.13,2,630,54
201705,09/05/17,72118,81708/PEGLER YORKSHIRE LIMITED ,-126.2,2,720,56
201704,06/04/17,71313,80951/SIMPSONS ,0,2,700,58
201701,09/01/17,68280,77311/HIB LTD ,-38.88,2,720,56
201609,02/09/16,64947,73498/CLAYGATE DISTRIBUTION LTD ,-375.06,2,720,56
201604,20/04/16,61109,69053/IDEAL BATHROOMS ,4.88,2,700,58
201802,05/02/18,78279,91472/ROBERT LEE(LONDON)LTD ,7.67,2,700,58
201707,26/07/17,73533,83544/SIMPSONS ,-166.27,2,720,56
201703,10/03/17,70402,79910/JOULE UK ,115.52,2,700,58
201612,01/12/16,67877,76969/KUDOS SHOWER PRODUCTS LIMITED ,-137.26,2,720,56
201608,01/08/16,64645,73229/MITCHELLS(MILLBROOK)LTD ,-901.66,2,720,56
201605,20/05/16,62019,70104/METHVEN UK LIMITED ,-29.12,2,630,54
201802,14/02/18,78583,91842/BARWICK ,-148.56,2,720,56
201706,09/06/17,72423,82013/ELLIOTT BROTHERS LTD ,1.4,2,700,58
201701,24/01/17,68888,78584/SYDENHAMS ,-22.42,2,720,56
201609,30/09/16,65252,73867/ROBERT LEE(LONDON)LTD ,12660.49,2,720,56
201606,10/06/16,62828,71052/SIMPSONS ,104.5,2,720,56
201712,07/11/17,76463,90500/MONTROSE FURNITURE ,-588.89,2,720,56
201607,29/09/16,JV5358,2/230 ,3250,2,801,59
201802,07/02/18,78382,91593/ROBERT LEE(LONDON)LTD ,-359.23,2,720,56
201706,05/06/17,72727,82523/CLAYGATE DISTRIBUTION LTD ,-9.72,2,720,56
201701,16/01/17,68788,78059/MELPASS LTD ,-155.52,2,720,56
201706,13/07/17,JV5558,JUNE PAYMENTS ,0,2,360,14
201609,27/09/16,65455,74095/BRETT MARTIN LTD ,-1834.27,2,720,56
201605,12/05/16,61920,69995/HIB LTD ,108.75,2,630,54
201702,06/02/17,69597,78959/HIB LTD ,162.74,2,630,54
201710,05/10/17,75252,85866/DAVROC LIMITED ,32.66,2,700,58
201709,29/09/17,74849,85432/ROBERT LEE(LONDON)LTD ,148.23,2,630,54
201601,06/01/16,58689,66256/IDEAL BATHROOMS ,13.25,2,700,58
201610,07/10/16,66062,74898/N.FROY AND SONS LIMITED ,-8.83,2,720,56
201605,26/05/16,62325,70460/ROBERT LEE(LONDON)LTD ,-86.29,2,720,56
201712,21/12/17,76465,90502/GRANT ENGINEERING (UK) LTD ,1476.7,2,720,56
201608,31/08/16,64750,73404/ALTECNIC LTD ,6.53,2,720,56
201706,26/06/17,72830,82646/MITCHELLS(MILLBROOK)LTD ,347.3,2,630,54
201701,20/01/17,68790,78061/ZEHNDER GROUP UK LTD (RETAIL) ,130.05,2,630,54
201701,26/01/17,68487,77730/SIMPSONS ,82.91,2,630,54
201604,29/04/16,61619,69767/SANEUX ,120.01,2,630,54
201710,11/10/17,75153,85758/SIMPSONS ,93.89,2,700,58
201803,23/03/18,79294,92638/ROBERT LEE(LONDON)LTD ,-36,2,630,54
201706,01/06/17,72326,81905/JOULE UK ,-440.66,2,720,56
201701,20/01/17,68791,78062/ZEHNDER GROUP UK LTD (RETAIL) ,341.69,2,700,58
201608,04/08/16,64549,73063/ELLIOTT BROTHERS LTD ,-70.8,2,720,56
201604,29/04/16,61620,69768/SANEUX ,-172.51,2,720,56
201604,21/04/16,61216,69317/N.FROY AND SONS LIMITED ,59.08,2,700,58
201707,12/09/17,JV5564,JULY ACCRUALS ,300,2,220,5
201801,03/01/18,77679,90798/H&V CONTROLS LTD ,773.3,2,630,54
201709,20/09/17,74650,85186/KARTELL UK LTD ,22.91,2,630,54
201704,26/04/17,70913,80347/VOGEL&NOOT PRODUCTS LTD ,160.34,2,720,56
201603,31/03/16,60719,68767/WESTCO ,-521.67,2,720,56
201611,17/11/16,67075,75996/CLAYGATE DISTRIBUTION LTD ,-16.63,2,720,56
201607,29/07/16,63742,72268/FLOWFLEX COMPONENTS LTD ,496.79,2,630,54
201602,26/02/16,60005,67931/KUDOS SHOWER PRODUCTS LIMITED ,74.93,2,720,56
201601,31/01/16,58894,66482/F&P WHOLESALE ,-5706.29,2,690,52
201711,13/11/17,76973,89164/KUDOS SHOWER PRODUCTS LIMITED ,14.06,2,700,58
201709,27/09/17,74853,85437/BROUGHTON CRANGROVE ,473.65,2,700,58
201704,05/04/17,71419,81832/ROBERT LEE(LONDON)LTD ,-120.5,2,720,56
201612,02/12/16,67884,76977/N.FROY AND SONS LIMITED ,-224.48,2,720,56
201608,02/08/16,64652,73236/ABACUS DIRECT ,3.56,2,700,58
201603,22/03/16,60713,68760/DAB PUMPS LIMITED ,243.1,2,700,58
201708,17/08/17,73844,83712/N.FROY AND SONS LIMITED ,47.13,2,700,58
201703,14/03/17,70208,79575/EASTBROOK CO ,-224.4,2,720,56
201610,12/09/16,66572,76243/METHVEN UK LIMITED ,-295.2,2,720,56
201606,29/06/16,63138,71403/HIB LTD ,-214.66,2,720,56
201602,02/02/16,59704,67596/BROUGHTON CRANGROVE ,-146.66,2,720,56
201801,09/01/18,77480,90564/ROBERT LEE(LONDON)LTD ,8.4,2,700,58
201703,02/03/17,69906,78712/WH CYLINDERS ,-51.98,2,180,2
201610,10/10/16,66169,75008/MITCHELLS(MILLBROOK)LTD ,45.12,2,700,58
201605,16/05/16,62331,70466/CLAYGATE DISTRIBUTION LTD ,234.92,2,630,54
201601,25/01/16,58998,66627/ROBERT LEE(LONDON)LTD ,3.24,2,630,54
201711,22/11/17,77077,89286/ROBERT LEE(LONDON)LTD ,-35.04,2,720,56
201706,15/06/17,72533,82143/INTATEC LTD ,-7.65,2,700,58
201701,20/01/17,68796,78067/HANSGROHE LIMITED ,278.2,2,630,54
201609,19/08/16,65665,74395/METHVEN UK LIMITED ,70,2,630,54
201605,16/05/16,62332,70467/CLAYGATE DISTRIBUTION LTD ,60.35,2,700,58
201708,02/08/17,73947,83815/ROBERT LEE(LONDON)LTD ,-154.07,2,720,56
201802,21/02/18,78694,91968/WESTCO FLOW CONTROL LTD ,-1.84,2,720,56
201706,15/06/17,72534,82144/ROBERT LEE(LONDON)LTD ,12,2,720,56
201702,06/02/17,69201,78360/MITCHELLS(MILLBROOK)LTD ,3.29,2,700,58
201606,09/06/16,62636,70835/CLAYGATE DISTRIBUTION LTD ,-36.05,2,720,56
201601,15/01/16,58798,66381/N.FROY AND SONS LIMITED ,-35.06,2,630,54
201712,11/12/17,75968,89950/ROBERT LEE(LONDON)LTD ,-250.56,2,720,56
201712,08/12/17,75868,89838/ROBERT LEE(LONDON)LTD ,10.98,2,700,58
201704,24/04/17,71020,80590/KITSONS THERMAL SUPPLIES ,146.99,2,630,54
201611,08/11/16,67283,76313/PEGLER YORKSHIRE LIMITED ,-27.6,2,720,56
201607,05/07/16,64051,73185/KUDOS SHOWER PRODUCTS LIMITED ,65.78,2,700,58
201602,05/02/16,59708,67600/ZEHNDER GROUP UK LTD (RETAIL) ,269.5,2,630,54
201605,03/05/16,61829,69231/HIB LTD ,-2120.45,2,690,52
201802,07/02/18,78393,91604/TODAYS TOOLS LTD ,-510.96,2,720,56
201705,04/05/17,72031,81609/ROBERT LEE(LONDON)LTD ,21.33,2,700,58
201608,03/08/16,64658,73242/SIMPSONS ,42.5,2,630,54
201701,31/01/17,68597,77849/CLAYGATE DISTRIBUTION LTD ,-56,2,720,56
201712,21/12/17,76475,90522/CLAYGATE DISTRIBUTION LTD ,39.2,2,700,58
201709,18/09/17,74456,84968/FIREBIRD PRODUCTS LTD ,-1956.29,2,720,56
201703,09/02/17,70618,80245/CAPITOL TILE GROUP ,-8.2,2,630,54
201611,22/11/16,67184,76128/EASTBROOK CO ,-76.32,2,720,56
201608,07/10/16,JV5367,AUGUST PAYMENTS ,14968.52,2,740,57
201605,16/05/16,62134,70242/TOOLBANK(CURTIS HOLT) ,-0.73,2,700,58
201601,08/01/16,58700,66267/H&V CONTROLS LTD ,-1151.3,2,720,56
201801,24/01/18,77991,91159/DAVROC LIMITED ,3.92,2,700,58
201704,05/04/17,71225,80861/BROUGHTON CRANGROVE ,-428.66,2,720,56
201711,29/11/17,77285,89522/ROBERT LEE(LONDON)LTD ,-9.58,2,720,56
201609,07/09/16,65064,73640/IDEAL BATHROOMS ,90.62,2,630,54
201604,15/04/16,61428,69563/IDEAL BATHROOMS ,93.38,2,630,54
201603,11/03/16,60519,68337/CLAYGATE DISTRIBUTION LTD ,0,2,700,58
201601,31/01/16,58903,66491/HIB LTD ,1152.54,2,720,56
201801,25/10/17,77790,90935/SIMPSONS ,-406.14,2,630,54
201601,18/12/15,58803,66386/SYDENHAMS ,0.91,2,700,58
201707,13/07/17,73347,83345/PHOENIX  ,-148.5,2,720,56
201703,02/03/17,69913,78719/CLEARCUT SERVICES ,1536,2,720,56
201609,31/08/16,65671,74427/H&V CONTROLS LTD ,187.48,2,630,54
201605,03/05/16,61732,69134/JOHN CRIBB AND SONS LIMITED ,-143.5,2,690,52
201601,21/01/16,59108,66750/MX GROUP ,65,2,630,54
201710,05/10/17,75367,85854/WESTCO FLOW CONTROL LTD ,189.75,2,630,54
201707,18/07/17,73247,83237/SAGITTARIUS LTD ,214.5,2,630,54
201703,16/03/17,70116,79391/OSO HOTWATER (UK) LIMITED ,309.4,2,630,54
201610,12/10/16,66076,74912/GRANT ENGINEERING (UK) LTD ,-132.18,2,720,56
201606,22/04/16,63046,71301/F&P WHOLESALE ,779,2,630,54
201602,17/02/16,59511,67358/METHVEN UK LIMITED ,23.18,2,700,58
201712,13/12/17,76075,90083/SIMPSONS ,292.67,2,630,54
201709,04/09/17,74964,85552/ROBERT LEE(LONDON)LTD ,213.88,2,630,54
201803,29/03/18,79610,93136/MITCHELLS(MILLBROOK)LTD ,-180,2,211,4
201704,25/04/17,71127,80733/MONTROSE FURNITURE ,-491.21,2,720,56
201611,02/11/16,67390,76424/ROBERT LEE(LONDON)LTD ,-39.31,2,720,56
201607,27/07/16,63653,72170/BROUGHTON CRANGROVE ,-789.07,2,720,56
201602,25/02/16,59613,67464/TIMOLEON LTD T/A OMNIE ,1085.59,2,630,54
