PGROUP	ATT 1
101	Bathroom Accessories
202	FLEXIBLE TAP CONN
1	BARLO RADIATORS
102	Bathroom Taps
203	PREMIUM FLEXI
103	Cartridge
204	GAS COCKS
104	Complementary Product
205	GAS COOKER HOSE
105	Complementary Products
206	GAS FITTINGS
5	QRL RADIATORS
106	Electric Showers
207	COSMOS
107	Electronic Controls
208	IMMERSION HEATERS
108	Kitchen Taps
209	TWO STR RV TOPS
109	Shower Accessories
210	HEATING TOWN TMV TRV
110	Showers
211	OIL RANGE
111	Spares & Components
212	BLACK IRON FITTINGS
11	TOWEL RAILS
112	Wastes
213	GRAB RAILS
214	OTHER HARDWARE
215	PLUMBING SUNDRIES
216	STADIUM
217	WC ACCESSORIES
218	WASHERS
219	WASTES TRAPS
220	WIQUIN
221	PLUMING PARTS PREP
121	Maincor
222	YELLOW BRASS
21	FLOPLAST RAINWATER
122	Tools
22	FLOPLAST SOIL AND WASTE
123	DANFOSS
23	FLOPLAST UNDERGROUND DRAINAGE
24	FLOPLAST MDPE
131	Climaflex
31	IONIC GRAVITY
132	Tubolit
32	IONIC ESSENCE
133	Armaflex
33	IONIC WET ROOM
134	H & V
34	IONIC EXPRESS
135	Felt Insulation
35	IONIC SOURCE
136	Cold Water Storage Tanks
36	IONIC BATH SCREENS
137	Carbery Oil Tanks
37	IONIC TRAYS
38	IONIC UPSTAND TRAYS
39	IONIC PROFILES
241	INTA
40	MBOX
141	Unvented Cylinders
41	10 SERIES MIRROR
142	Vented Cylinders
42	10 SERIES
43	Merlyn 8 Series FRAMELESS
44	Merlyn 8 Series COLOUR
45	Merlyn 8 Series
46	6 SERIES
47	WET ROOMS
48	BATH SCREENS
49	TRUESTONE TRAYS
251	HEP20
50	LEVEL 25
151	Altecnic Rad Valves
252	HEP20 TAP CONN
51	MSTONE TRAYS
152	Drayton Rad Valves
253	HEP20 UNDERFLOOR
354	arley
52	MX TRAY
153	Honeywell Rad Valves
254	OSMA
53	EXTENSION PROFILES
255	WAVIN
256	SANIFLO
261	AMPM
161	ZIPP
262	BURLINGTON
61	COMPRESSION 1
162	Grundfos
263	fluidmaster dudley
62	COMPRESSION 2
163	Zilmat
264	1deal boilers
63	SPEEDFIT
164	Backer
265	vailant
165	Triton
266	worcester
267	COPPER TUBE
268	Glow Worm
171	HEP 20
71	KARTELL SHOWER TRAYS
72	KARTELL SANITARYWARE
181	Zamori Shower Trays
81	KARTELL BATHS
999	OBSOLETE PRODUCTS
191	MCAlpine Traps
91	KARTELL BATHROOM FURNITURE
92	KARTELL BATHROOM FURNITURE IMPAKT
93	KARTELL BATHROOM FURNITURE PURITY
201	END FEED FITTINGS

