PRODUCT	ATT 1	ATT 2	ATT 3	ATT 5	ATT 6	ATT 7	ATT 9	ATT 10	ATT 11	ATT 13	ATT 14	ATT 15	ATT 20	ATT 22	ATT 31	ATT 32
BBBICY1	PASHLEY BICYCLE INCL. WALL BRACKETS BUT EXCL SEAT BASIN BASIN SHELF WASTE & TAP	262	20120	91893	82742	12675000	12675000	5500	0	5703750	1		S	BICY1	1	
BRARDESHCCFW	ARTISANEVO DIGTL ARDE SHCCF W CEIL/FED W	110	21809	17900	15900	3391700	1000000	0	0	1000000	1		S	ARDE SHCCF W	1	
MCPG1616	PRESS ELBOW 16MM	121	13010	395	348	46500	46500	5500	0	20925	1		S	PG1616	1	1
FMPROCP002	FLUIDMASTER PRO CISTERN PACK BRASS	263	18150	2095	2095	205900	205900	1000	0	185310	1		S	PROCP002	1	
492202	MDPE 25MM X 3/4" MALE ADAPTOR	24	61215	211	211	62200	62200	7363	0	16402	1		S	492202	1	
492203	MDPE 25MM X 3/4" FEMALE ADAPTOR	24	61215	228	228	67000	67000	7358	0	17701	1		S	492203	1	
492205	MDPE 25MMX 3/4" MDPE WALL PLATE ELBOW	24	61215	806	806	236800	236800	7360	0	62515	1		S	492205	1	
RWFDU25D3	BATHROOM DRAWER UNIT 250 3 DRAWERS (300 DEEP)	92	11011	6446	5950	991700	991700	6000	0	396680	1		S	RWFDU25D3	1	
VPLUMEEXT	VAILLANT EXT PIPE FOR PLUME MANAGEMENT KIT-WHITE 1M	265	11616	1700	1400	97900	97900	0	0	97900	1		S	20219540	1	
RAN4CI	RAN4 NIAGARA135*"C.IRON"EXT.ANGLE	21	61215	0	0	132900	132900	4718	0	70197	1		S	RAN4CI	1	
RWF55UNIT	BATHROOM VANITY UNIT 55 CM 2 DOOR	92	11011	4929	4550	758400	758400	6000	0	303360	1		S	RWF55UNIT	1	
MS8SW201SV	MERLYN 8 SERIES SHOWERWALL WITH SWIVEL PANEL INCLUDING MSTONE TRAY 1200 X 900	47	13051	56276	49678	7762300	7762300	5500	0	3493035	1		S	MS8SW201SV	1	
QV1001W	QUINN SLIEVE VSP 2000X288 QV1001W	5	17181	10706	9733	1946700	1946700	6250	0	730012	1		S	QV1001W	1	
LOOPR	REMOTE FILLING LOOP C/W GAUGE	151	11220	1425	1259	82200	82200	0	0	82200	1		S	ALT-ST0035	1	1
ST1470	K-VIT 1400 X 700MM RECTANGLE L/P TRAY	71	11011	11212	10350	1725000	1725000	6000	0	690000	1		S	KRR1407L	1	
FUR147ME	METRO WALL HUNG TALL STORAGE UNIT	91	11011	15112	13950	2325000	2325000	6000	0	930000	1		S	FUR147ME	1	
BBKER21QT	BURLINGTON QT KENSINGTON REGAL WALL ANGLED BSM	262	20120	0	0	5000000	5000000	1000	0	4500000	1		S	KER21-QT	1	
QV1002W	QUINN SLIEVE VSP 2000X433 QV1002W	5	17181	12788	11626	2325200	2325200	6250	0	871950	1		S	QV1002W	1	
BRRLBSMC	REGENCY LUXURY BATH SHOWER MIXER CHROME PLATED	102	21809	13379	12264	1858300	1858300	5450	0	845526	1		S	R LBSM C	1	
